,Organization Name,Popular Name,Discipline / Field,Category,Application Number,City,State,Zip,Project Description,Fiscal Year,Congressional District,Grant Amount,Grant From Date,Grant To Date,mural,sculpture,community,outdoor,public,communities,park,is_public_art
0,"Artists for Humanity, Inc.",aka AFH,Visual Arts,Grants for Arts Projects,1895283-41-22,Boston,MA,02127-1112,"Purpose: To support a painting and photography apprenticeship program for Boston-area teens. Additional Project Description: Apprentices will be mentored by professional artists and receive training in painting, composition, color theory, photography and digital editing. Studio courses will help students understand the creative process and develop fine art skills through a series of commissioned projects. Intended Beneficiaries: The apprenticeship program will benefit Boston-area teens and local businesses. Intended Outcome: Beneficiaries acquire knowledge and skills in the arts.",2022,8,20000 ,2022-06-01,2023-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,"Artists for Humanity, Inc.",aka AFH,Visual Arts,Grants for Arts Projects,1884032-41-21,Boston,MA,02127-1112,"To support a painting, photography, and video arts apprenticeship program for Boston-area teens. Apprentices will be mentored by professional artists and receive training in painting, composition, color theory, photography, sound engineering, digital editing, motion graphics/animation, and video production. Studio courses will help students understand the creative process and develop fine art skills through a series of commissioned projects.",2021,8,30000 ,2021-06-01,2022-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,"Artists for Humanity, Inc.",aka AFH,Visual Arts,Art Works,1861577-41-20,Boston,MA,02127-1112,"To support a painting, photography, and video arts apprenticeship program for Boston-area teens. Apprentices will be mentored by professional artists and receive training in painting, composition, color theory, photography, sound engineering, digital editing, motion graphics/animation, and video production. Studio courses will help students understand the creative process and develop fine art skills through a series of commissioned projects. Project activities may take place virtually.",2020,8,25000 ,2020-06-01,2021-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,"Artists for Humanity, Inc.",aka AFH,Visual Arts,Art Works,1808125-41-18,Boston,MA,02127-1112,"To support a painting, photography, and video arts apprenticeship program for Boston-area teens. Apprentices will be mentored by professional artists and will receive training in painting, composition, color theory, photography, sound engineering, digital editing, motion graphics/animation, and video production. Studio courses will help students understand the creative process and develop fine art skills through a series of commissioned projects. The program will introduce students to a variety of creative career opportunities.",2018,8,40000 ,2018-06-01,2019-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,"Artists for Humanity, Inc.",aka AFH,Visual Arts,Art Works,17-4100-7101,Boston,MA,02127-1112,"To support a painting, photography, and video arts apprenticeship program for Boston-area teens. Apprentices will be mentored by professional artists and will receive training in painting, composition, color theory, photography, sound engineering, digital editing, motion graphics/animation, and video production. Studio courses will help students understand the creative process and develop fine art skills while delivering specific solutions through a series of commissioned projects for clients in both the public and private sectors.",2017,8,25000 ,2017-07-01,2018-06-30,0.0,0.0,0.0,0.0,0.08591243079837999,0.0,0.0,1
5,"Artists for Humanity, Inc.",aka AFH,Visual Arts,Art Works,16-4100-7117,Boston,MA,02127-1112,"To support a painting, photography, and video arts apprenticeship program for Boston-area teens. Professional artists will mentor apprentices who will receive training in painting, composition, color theory, photography, sound engineering, digital editing, motion graphics/animation, and video production. Studio courses help students understand the creative process by learning to develop fine art skills while delivering client-specific solutions through a series of commissioned projects.",2016,8,20000 ,2016-07-01,2017-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,"Artists for Humanity, Inc.",aka AFH,Visual Arts,Art Works,14-4100-7086,Boston,MA,02127-1112,"To support a painting and photography apprenticeship program for Boston-area teens. The apprentices, participating in the Youth Arts Enterprise program, will be mentored by professional artists with an emphasis on the creation, exhibition, marketing, and sale of art work. Studio courses in painting and photography (both traditional and digital formats) will be offered.",2014,8,25000 ,2014-07-01,2015-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,"Artists for Humanity, Inc.",aka AFH,Visual Arts,Art Works,12-4100-7087,Boston,MA,02127-1112,"To support a youth painting and photography apprenticeship program. Studio courses in painting and photography will be offered to under-resourced high school students providing them with access to arts education, cultural enrichment, and an entrepreneurship program to develop creative skills under the tutelage of professional artist mentors.",2012,8,75000 ,2012-07-01,2013-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,"Artists for Humanity, Inc.",aka AFH,Arts Education,Learning in the Arts for Children & Youth,11-5100-8172,Boston,MA,02127-1112,"To support AFH's Painting/Mural and Photography Studios. Through paid apprenticeships, underserved youth will receive studio instruction in painting, photography, and mural arts; students also will gain business skills in the arts such as coordinating and marketing art exhibitions, making presentations to corporate clients, and working in a team environment.",2011,8,10000 ,2011-07-01,2012-06-30,0.3857201177812293,0.0,0.0,0.0,0.0,0.0,0.0,1
9,"Artists for Humanity, Inc.",aka AFH,Arts Education,Learning in the Arts for Children & Youth,10-5100-8195,Boston,MA,02127-1112,"To support ""Youth-Run Arts Micro-Enterprise"", a visual arts education program. Through paid apprenticeships, underserved youth will receive studio instruction in painting, photography, and web design.",2010,8,70000 ,2010-07-01,2011-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,"Artists for Humanity, Inc.",aka AFH,Arts Education,Learning in the Arts for Children & Youth,08-5100-8180,Boston,MA,02127-1112,"To support the ""Youth-Run Arts Micro-Enterprise"" program. Through paid apprenticeships, underserved youth (ages 14 to 18) will receive studio instruction in painting, photography, sculpture, murals/set design, silk-screen, and graphic design.",2008,8,18000 ,2008-07-01,2009-06-30,0.0,0.19435222880542177,0.0,0.0,0.0,0.0,0.0,1
