,Organization Name,Popular Name,Discipline / Field,Category,Application Number,City,State,Zip,Project Description,Fiscal Year,Congressional District,Grant Amount,Grant From Date,Grant To Date,mural,sculpture,community,outdoor,public,communities,park,is_public_art
0,Arts Foundation of Olde Towne,,Challenge America,Challenge America Community Arts Development,02-7816-1439,Columbus,OH,43215-3978,"To support a Community Arts Development project in partnership with other community organizations. The project is a cultural tourism effort to promote the ""Hot Times Community Arts  Music Festival, "" that includes theater performances, poetry presentations, storytelling, and musical presentations for an audience drawn from throughout central Ohio. Partnering organizations will include the Main Street Business Assoication, City of Columbus, Columbus Health Department, and ComFest.",2002,3,10000,2002-09-01,2003-08-31,0.0,0.0,0.30952142639768454,0.0,0.0,0.0,0.0,1
1,Arts Foundation of Olde Towne,,Challenge America,Challenge America Community Arts Development,01-7816-1370,Columbus,OH,43215-3978,To support a Community Arts Development project in partnership with other community organizations,2001,3,10000,2001-09-01,2002-08-31,0.0,0.0,0.682322329214657,0.0,0.0,0.0,0.0,1
2,"Awad, Ruth",,Literary Arts,Literature Fellowships: Creative Writing,1868719-52-21,Columbus,OH,43202-2238,"To support activities that contribute to your creative development and artistic growth and may include writing, research, and travel",2021,12,25000,2021-01-01,2022-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,"Ballet Metropolitan, Inc.",aka BalletMet,Dance,Grants for Arts Projects,1904849-33-23,COLUMBUS,OH,43215-2131,"Purpose: To support artist fees for a mixed-repertoire program by choreographers Leiland Charles, Dana Genshaft, and Amy Seiwert. Additional Project Description: Each choreographer is commissioned to create a new work for BalletMet, to be performed at the Davidson Theatre in Columbus, Ohio. Associated engagement activities may include post-performance discussions and discounted tickets to a dress rehearsal for senior citizens. Intended Beneficiaries: This project will benefit audiences in Columbus, Ohio. Intended Outcome: Beneficiaries access arts activities and programming.",2023,3,10000,2023-01-01,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,"Ballet Metropolitan, Inc.",aka BalletMet,Dance,Grants for Arts Projects,1888297-33-22,COLUMBUS,OH,43215-2131,"Purpose: To support dancer salaries and license and acquisition fees for mixed repertory dance performances by Ballet Met. Additional Project Description: The program will include works by choreographers George Balanchine, Edwaard Liang, and Christopher Wheeldon. Performances will take place at Davidson Theatre in downtown Columbus, Ohio. Intended Beneficiaries: Audiences in the greater Columbus area will benefit from this production. Intended Outcome: Beneficiaries engage with the arts.",2022,3,10000,2022-01-01,2022-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,"Ballet Metropolitan, Inc.",aka BalletMet,Dance,Art Works,1858300-33-20,COLUMBUS,OH,43215-2131,To support the creation of new ballets by BalletMet dancers. The program will include open rehearsals and will expand the dancers' choreographic careers under the mentorship of Artistic Director Edwaard Liang.,2020,3,10000,2020-01-01,2020-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,"Ballet Metropolitan, Inc.",aka BalletMet,Dance,Art Works,1847553-33-19,COLUMBUS,OH,43215-2131,"To support a program of ballets choreographed by Artistic Director Edwaard Liang. The company will perform Symphonic Dances set to music by Sergei Rachmaninoff, Beautiful Child set to vocal covers by Rufus Wainwright, and Wünderland set to music by Philip Glass. Community engagement activities may include in-school performances with audience interaction and information about the program and the creative process, and discounted tickets for seniors to attend a dress rehearsal.",2019,3,15000,2019-01-01,2019-06-30,0.0,0.0,0.08992552196700243,0.0,0.0,0.0,0.0,1
7,"Ballet Metropolitan, Inc.",aka BalletMet,Dance,Art Works,17-3300-7037,COLUMBUS,OH,43215-2131,"To support the presentation of ""Romeo and Juliet,"" by Edwaard Liang. BalletMet will stage this three-act performance for its Ohio premiere which will include elaborate sets and costumes, swordfights, and dramatic choreography. Students in BalletMet's Dance Academy will be cast in a variety of character roles. Educational components will include a performance for school children and study materials for teachers to integrate in their classrooms. The ballet will be performed at the Ohio Theatre in Columbus.",2017,3,20000,2017-01-01,2017-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,"Ballet Metropolitan, Inc.",aka BalletMet,Dance,Art Works,16-3300-7062,COLUMBUS,OH,43215-2131,"To support the presentation of the performance program ""Inspired,"" in collaboration with the Cincinnati Ballet. The works will include Artistic Director Edwaard Liang's ""Age of Innocence,"" a work by Cincinnati Ballet, and George Balanchine's ""Who Cares?"" BalletMet Columbus and Cincinnati Ballet will collaborate to form the larger ensemble cast required for ""Who Cares?"" BalletMet is planning a Movement Makers outreach initiative that will focus on Balanchine's legacy and will dedicate a link on their website about Balanchine in conjunction with videos, interviews, blogs, and social media. A Movement Makers ""Informance"" will include BalletMet 2 (the pre-professional student company) performing excerpts of ""Age of Innocence,"" and will be performed at no or low cost for inner-city schools and community sites. Additional outreach activities include post-performance discussions, a discounted senior dress rehearsal, and BalletMet's KidTix program. The performances will take place in Columbus and Cincinnati.",2016,3,20000,2016-01-01,2016-06-30,0.0,0.0,0.05554910720257802,0.0,0.0,0.0,0.0,1
9,"Ballet Metropolitan, Inc.",aka BalletMet,Dance,Art Works,15-3300-7028,COLUMBUS,OH,43215-2131,"To support the presentation of American Masters. Performances will include Jerome Robbins' ""Fancy Free,"" a full ensemble work by Artistic Director Edwaard Liang, and works by choreographers James Kudelka and David Nixon. During the creation and rehearsal process, Ballet Met 2 dancers will perform sections of ""Fancy Free"" at Columbus area schools and businesses. In addition, the company will host open rehearsals at its studios with choreographers, dancers, and artistic staff. Other outreach activities may include post-performance discussions, a discounted senior dress rehearsal, and BalletMet KidTix, which offers free performance tickets for underserved children and young adults.",2015,3,20000,2015-01-01,2015-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
