,Organization Name,Popular Name,Discipline / Field,Category,Application Number,City,State,Zip,Project Description,Fiscal Year,Congressional District,Grant Amount,Grant From Date,Grant To Date,mural,sculpture,community,outdoor,public,communities,park,is_public_art
0,"American Pianists Association, Inc.",,Music,Art Works,16-3100-7155,INDIANAPOLIS,IN,46208-3443,"To support the outreach concerts and workshops performed by finalists of the quadrennial Classical Fellowship Awards. Each finalist will take part in residency activities including demonstrations, workshops, and master classes in local high schools as part of the Concerto Curriculum program, which will culminate in a public performance by each pianist and members of the Indianapolis Chamber Orchestra. In addition, each finalist will perform a free concert for patients, staff, and the general public at an area hospital.",2016,7,10000,2016-07-01,2017-04-30,0.0,0.0,0.0,0.0,0.19300235798138693,0.0,0.0,1
1,"American Pianists Association, Inc.",,Music,Art Works,14-3100-7171,INDIANAPOLIS,IN,46208-3443,"To support the Concerto Curriculum arts education and community outreach program. The five finalists for the 2014-15 Jazz Fellowship Awards will be able to spend one week during the jazz piano competition in Indianapolis to conduct three-day residencies in local area high schools. They will teach classes, conduct rehearsals, and perform in culminating public concerts with the respective school's jazz ensemble.",2014,7,10000,2014-06-01,2015-03-31,0.0,0.0,0.07823621358510291,0.0,0.09448073257026544,0.0,0.0,1
2,"American Pianists Association, Inc.",,Music,Art Works,12-3100-7168,INDIANAPOLIS,IN,46208-3443,"To support outreach concerts and workshops performed by the finalists of the quadrennial Classical Fellowship Awards. Each of the five finalists will take part in a three-day residency in local high schools as part of the ""Concerto Curriculum"" program which will culminate in a public performance by the pianist and members of the Indianapolis Chamber Orchestra in an effort to reinforce the schools' orchestra programs.",2012,7,10000,2012-09-01,2013-04-30,0.0,0.0,0.0,0.0,0.10934255214880982,0.0,0.0,1
3,"American Pianists Association, Inc.",,Music,Access to Artistic Excellence,09-3100-7251,INDIANAPOLIS,IN,46208-3443,"To support outreach concerts, workshops, and solo recitals performed by the finalists of the triennial Jazz Fellowship Awards. Each honoree will take part in at least two community events as part of the ""Concerto Curriculum"" program.",2009,7,15000,2010-07-01,2011-04-30,0.0,0.0,0.11285980536984026,0.0,0.0,0.0,0.0,1
4,Arte Mexicano En Indiana Inc,,Challenge America,Challenge America,1910084-78,Indianapolis,IN,46222-4057,"Purpose: To support a mural project featuring lead artist Aaron Johnson-Ortiz. Additional Project Description: Arte Mexicano En Indiana will partner with the Midwest arts group (Neo)Muralismos de México (NMM) to create a mural in the Little Mexico neighborhood of Indianapolis. Aaron Johnson-Ortiz, NMM Director, will work with local youth and community participants to design, create, and install this mural. NMM also will host Mexican artist Gabriel Pozo. Pozo will teach about contemporary mural techniques and share his style of art. Intended Beneficiaries: The program will benefit residents and visitors of Indianapolis. Intended Outcome: Beneficiaries access arts activities and programming.",2023,7,10000,2023-01-01,2023-12-31,0.4653984331207406,0.0,0.04879972167296524,0.0,0.0,0.0,0.0,1
5,Artmix Inc.,,Visual Arts,Grants for Arts Projects,1894526-41-22,INDIANAPOLIS,IN,46202-4468,"Purpose: To support Urban Artisans, a vocational internship program for youth with disabilities. Additional Project Description: Under the guidance of professional teaching artists, interns will receive instruction in studio arts and crafts with the primary goal of helping youth participants transition from school to the workforce. Working as a creative team, interns will create artistic products in clay, fiber, paint, and mosaics. Intended Beneficiaries: The internship program will benefit youth participants. Intended Outcome: Beneficiaries acquire knowledge and skills in the arts.",2022,7,20000,2022-07-01,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,Artmix Inc.,,American Rescue Plan,American Rescue Plan (ARP) Grants to Organizations,1899748-66-22,INDIANAPOLIS,IN,46202-4468,"Purpose: To support personnel expenses in response to and recovery from the COVID-19 pandemic. Additional Project Description: The support will help the organization maintain operations during recovery from the devastating economic and health effects of the COVID-19 pandemic. Intended Beneficiaries: This assistance will benefit the organization’s constituency, such as arts workers, artists, and audiences. Intended Outcome: Artistic activities and traditions are supported to strengthen the nation’s cultural infrastructure.",2022,7,50000,2022-01-01,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,Artmix Inc.,,Visual Arts,Grants for Arts Projects,1885630-41-21,INDIANAPOLIS,IN,46202-4468,"To support Urban Artisans, a vocational internship program for youth with disabilities. Under the guidance of professional teaching artists, interns will receive instruction in studio arts and crafts with the primary goal of helping youth participants transition from school to the workforce. Working as a creative team, interns will create artistic products in clay, fiber, paint, and mosaics. Activities will take place virtually and in person.",2021,7,30000,2021-07-01,2022-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,Artmix Inc.,,Visual Arts,Art Works,1861976-41-20,INDIANAPOLIS,IN,46202-4468,"To support Urban Artisans, a vocational internship program for youth with disabilities. Under the guidance of professional teaching artists, interns receive instruction in studio art and fine art crafts with the primary goal of helping youth participants transition from school to the workforce. Working as a creative team, interns create marketable, artistic products in clay, fiber, paints, and mosaics. Project activities may take place in-person or virtually as necessary.",2020,7,25000,2020-07-01,2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Artmix Inc.,,Visual Arts,Art Works,1809068-41-18,INDIANAPOLIS,IN,46202-4468,"To support Urban Artisans, a vocational internship program for youth with disabilities. Under the guidance of professional teaching artists, interns receive instruction in studio art and fine art crafts with the primary goal of helping youth participants transition from school to the workforce. Working as a creative team, interns create marketable, artistic products in clay, fiber, paints, and mosaics. Products include functional clay objects such as vases, flower pots, and ceramic bowls and textiles such as scarves. During their time in the program, interns fulfill a commission for a local community partner that sells or distributes the products. Urban Artisans serves central Indiana youth with diagnosed cognitive, emotional, and/or physical disabilities.",2018,7,25000,2018-07-01,2019-06-30,0.0,0.0,0.054063505882238974,0.0,0.0,0.0,0.0,1
