,Organization Name,Popular Name,Discipline / Field,Category,Application Number,City,State,Zip,Project Description,Fiscal Year,Congressional District,Grant Amount,Grant From Date,Grant To Date,mural,sculpture,community,engagement,outdoor,public,communities,park,is_public_art
0,3rd I South Asian Independent Film,aka 3rd i Films,Media Arts,Grants for Arts Projects,1904919-34-23,SAN FRANCISCO,CA,94110-2322,"Purpose: To support 3rd i Films' San Francisco International South Asian Film Festival and associated public programming. Additional Project Description: Showcasing the work of local and international South Asian artists in documentary, narrative, and experimental genres, screenings will be accompanied by talks with visiting artists and panel discussions focused on issues pertinent to South Asian communities. Intended Beneficiaries: Festival programming will serve the public, with a focus on residents from the greater San Francisco Bay Area and South Asian communities. Intended Outcome: Beneficiaries access arts activities and programming.",2023,12,15000,2023-01-01,2023-12-31,0.0,0.0,0.0,0.0,0.0,0.13722983998344962,0.1842467323328682,0.0,1
1,3rd I South Asian Independent Film,aka 3rd i Films,Media Arts,Grants for Arts Projects,1888103-34-22,SAN FRANCISCO,CA,94110-2322,"Purpose: To support 3rd i Films' San Francisco International South Asian Film Festival and associated public programming. Additional Project Description: Showcasing the work of local and international South Asian artists in documentary, narrative, and experimental genres, screenings will be accompanied by talks with visiting artists and panel discussions focused on issues pertinent to South Asian communities. Intended Beneficiaries: Festival programming will serve the public, with a focus on residents from the greater San Francisco Bay Area and South Asian communities. Intended Outcome: Beneficiaries engage with the arts.",2022,12,15000,2022-01-01,2022-12-31,0.0,0.0,0.0,0.0,0.0,0.13980684155777845,0.18770665124951205,0.0,1
2,3rd I South Asian Independent Film,aka 3rd i Films,Media Arts,Art Works,1856891-34-20,SAN FRANCISCO,CA,94110-2322,"To support 3rd i Films' San Francisco virtual International South Asian Film Festival and associated public programming. Dedicated to showcasing the work of local and international South Asian artists in documentary, narrative, and experimental genres, screenings will be accompanied by talks with visiting artists and panel discussions focused on issues pertinent to South Asian communities.",2020,12,15000,2020-01-01,2020-12-31,0.0,0.0,0.0,0.0,0.0,0.09002142361486465,0.12086404198235642,0.0,1
3,3rd I South Asian Independent Film,aka 3rd i Films,Media Arts,Art Works,1847180-34-19,SAN FRANCISCO,CA,94110-2322,"To support the San Francisco International South Asian Film Festival and associated public programming. Dedicated to showcasing the work of local and international South Asian artists, the festival will showcase films across narrative, documentary, and experimental genres. This year's festival will include a special focus on women filmmakers, featuring the work of artists such as the award-winning documentary director of Gulabi Gang (2012), Nishtha Jain. Throughout the festival, screenings will be accompanied by talks with visiting artists and panel discussions focused on issues pertinent to South Asian communities.",2019,12,15000,2019-01-01,2019-12-31,0.0,0.0,0.0,0.0,0.0,0.07064725513785351,0.09485200820029946,0.0,1
4,3rd I South Asian Independent Film,aka 3rd i Films,Challenge America,Challenge America,1831128-78-18,SAN FRANCISCO,CA,94110-2322,"To support the San Francisco International South Asian Film Festival. The multi-day festival will include screenings of feature films, documentaries, and short films - classic and contemporary - by South Asian filmmakers from around the world. Programming will also include panel discussions and artist talks.",2018,12,10000,2018-01-01,2018-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,3rd I South Asian Independent Film,aka 3rd i Films,Challenge America,Challenge America,17-7800-7032,SAN FRANCISCO,CA,94110-2322,"To support the San Francisco International South Asian Film Festival. The event is a multi-day festival featuring classic and contemporary films, documentaries, and short films, offering authentic representations and issues of relevance to South Asians. Filmakers from around the world participate. The festival will spotlight screenings and programming featuring India's Dalit community. Programming will also include panel discussions.",2017,12,10000,2017-01-01,2017-12-31,0.0,0.0,0.08847146068928885,0.0,0.0,0.0,0.0,0.0,1
6,3rd I South Asian Independent Film,aka 3rd i Films,Challenge America,Challenge America,16-7800-7031,SAN FRANCISCO,CA,94110-2322,"To support the San Francisco International South Asian Film Festival. The festival will screen full-length features, documentaries, and short films by independent South Asian filmmakers from the United States, India, Pakistan, Bangladesh, Sri Lanka, Canada, and Europe. The festival's focus - its screenings, media artist presentations, and panel discussion - is intended to offer a diverse range of perspectives on the lives of South Asian people in places through the world.",2016,12,10000,2016-01-01,2016-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,3rd I South Asian Independent Film,aka 3rd i Films,Challenge America,Challenge America,14-7800-7005,SAN FRANCISCO,CA,94110-2322,"To support the South Asian International Film Festival and related dance and music performances. The annual festival will focus on South Asia's diverse dance and music traditions and will screen narrative and documentary features and shorts by independent filmmakers from the United States, South Asia, and the South Asian Diaspora.",2014,12,10000,2014-06-01,2014-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,3rd I South Asian Independent Film,aka 3rd i Films,Challenge America,Challenge America,13-7800-7083,SAN FRANCISCO,CA,94110-2322,"To support the South Asian International Film Festival. Held at San Francisco's Castro and Roxie Theaters, the 11th annual festival will include full-length features, documentaries, and short films by South Asian filmmakers from the United States, India, Pakistan, Bangladesh, Sri Lanka, Europe, and Canada, including filmmaker Sabiha Sumar.",2013,12,10000,2013-01-01,2013-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,3rd I South Asian Independent Film,aka 3rd i Films,Challenge America,Challenge America,12-7800-7142,SAN FRANCISCO,CA,94110-2322,"To support the South Asian International Film Festival. The 10th annual festival will include full-length features, documentaries, and short films by South Asian filmmakers from the United States, India, Pakistan, Bangladesh, Sri Lanka, Europe, Canada, and the South Asian diaspora.",2012,12,10000,2012-01-01,2012-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,3rd I South Asian Independent Film,aka 3rd i Films,Challenge America,Challenge America Fast-Track,10-7800-7136,SAN FRANCISCO,CA,94110-2322,"To support the South Asian International Film Festival. The eighth annual festival will screen full-length feature films, documentaries and short films by media artists and independent filmmakers from the United States, Bangladesh, India, Pakistan, Sri Lanka, Canada and Europe.",2010,12,10000,2010-01-01,2010-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,3rd I South Asian Independent Film,aka 3rd i Films,Challenge America,Challenge America Fast-Track,08-7800-7008,SAN FRANCISCO,CA,94110-2322,"To support the Annual San Francisco South Asian International Film Festival. The sixth annual festival will screen feature full-length films, documentaries and short films by media artists and independent filmmakers from the United States, Bangladesh, Canada, England, India, Pakistan, and Sri Lanka.",2008,12,10000,2008-02-01,2008-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,3rd I South Asian Independent Film,aka 3rd i Films,Challenge America,Challenge America Fast-Track,07-7800-7013,SAN FRANCISCO,CA,94110-2322,"To support the Annual San Francisco South Asian International Film Festival. The festival will screen films and host workshops by media artists from India, Pakistan, Bangladesh, Sri Lanka, England, Canada, and the United States.",2007,12,10000,2007-02-01,2007-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,3rd I South Asian Independent Film,aka 3rd i Films,Challenge America,Challenge America Fast-Track,06-7800-7076,SAN FRANCISCO,CA,94110-2322,"To support the 4th Annual South Asian International Film Festival. Now in its fourth year, the festival will include the screening of features, documentaries, short films, and in some cases discussions between the filmmaker and the audience.",2006,12,10000,2006-02-01,2006-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,42nd Street Moon,,Musical Theater,Access to Artistic Excellence,10-2800-7049,SAN FRANCISCO,CA,94102-4515,"To support script and score restorations and the production of ""Three Sisters"", a musical play by Jerome Kern and Oscar Hammerstein II. Co-artistic director and musical theater historian Greg MacKellan will restore the production script with score restoration and new chamber orchestrations by musical director Dave Dobrusky.",2010,12,25000,2010-06-01,2012-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,42nd Street Moon,,Musical Theater,Creativity / Presentation,04-2800-5012,SAN FRANCISCO,CA,94102-4515,"To support the restoration, revival, and staged concert performance of Harold Arlen and Yip Harburg's 1937 musical, Hooray For What.",2004,12,10000,2004-08-01,2004-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,42nd Street Moon,,Musical Theater,Heritage / Preservation,99-2800-6021,SAN FRANCISCO,CA,94102-4515,"To support the production of a CD recording. 42nd Street Moon will record a CD of the 1938 Cole Porter score, ""Leave it to Me.""",1999,12,9000,1999-09-01,2002-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,509 Cultural Center,aka Luggage Store Gallery,Visual Arts,Art Works,12-4100-7041,San Francisco,CA,94103-1605,"To support the exhibition Pax Americana by American artist David Gurman at the Luggage Store. Constructed in collaboration with a team of experts in seismology, music, robotics, and electromechanical engineering Gurman's installation (or Pax Americana) will convert real time seismic data into a water feature created to reflect vibrations recorded from data feeds indicating real-time action in international conflict zones.",2012,12,25000,2012-01-01,2013-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,509 Cultural Center,aka Luggage Store Gallery,Visual Arts,Access to Artistic Excellence,10-4100-7102,San Francisco,CA,94103-1605,"To support completion of an online archive documenting the 20-year exhibition history of the Luggage Store. The archive will include more than 2,000 visual images, biographical information, video footage, DVDs, newspaper articles, and critical writing.",2010,12,30000,2010-06-01,2011-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,509 Cultural Center,aka Luggage Store Gallery,Visual Arts,Access to Artistic Excellence,09-4100-7082,San Francisco,CA,94103-1605,To support Short Cuts. The mentorship program at Luggage Store Gallery targeted to emerging artists and art students is designed to advance curatorial and exhibition organizing skills.,2009,12,20000,2009-06-01,2010-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20,509 Cultural Center,aka Luggage Store Gallery,Visual Arts,Access to Artistic Excellence,07-4100-7074,San Francisco,CA,94103-1605,"To support production of an online archive documenting the 16-year exhibition history of the Luggage Store. The archive will include more than 1,000 visual images, biographical information, video footage, DVDs, newspaper articles, and critical writing.",2007,12,20000,2007-06-01,2008-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,509 Cultural Center,aka Luggage Store Gallery,Visual Arts,Access to Artistic Excellence,06-4100-7030,San Francisco,CA,94103-1605,"To support an exhibition to mark the 15th anniversary of the Luggage Store Gallery, including related educational programs. Catalog removed as a required product 4/22/08. The exhibition will feature new work by approximately 30 artists whose work was once shown at the gallery.",2006,12,20000,2006-01-01,2007-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,509 Cultural Center,aka Luggage Store Gallery,Multidisciplinary*,Access to Artistic Excellence,05-7000-7062,San Francisco,CA,94103-1605,"To support outdoor performances, arts programs, visual arts exhibitions, and the 11th annual In the Street Theater Festival. The project provides free, professional quality, community-based multidisciplinary arts programming for culturally and economically diverse residents of San Francisco's Tenderloin and Mid-Market Corridor neighborhoods.",2005,12,35000,2005-06-01,2006-05-31,0.0,0.0,0.11617466736987751,0.0,0.19264846791766055,0.0,0.0,0.0,1
23,509 Cultural Center,aka Luggage Store Gallery,Multidisciplinary*,Challenge America,04-7000-1103,San Francisco,CA,94103-1605,"To support free arts programming in a low-income neighborhood. The project will feature outdoor performances, visual arts exhibitions, and the 10th annual ""In the Street Theater Festival.""",2004,12,12000,2004-06-01,2005-06-30,0.0,0.0,0.0,0.0,0.28489908213459103,0.0,0.0,0.0,1
24,509 Cultural Center,aka Luggage Store Gallery,Multidisciplinary*,Challenge America,03-7000-1094,San Francisco,CA,94103-1605,"To support free arts programming serving low-income San Francisco residents. The project will feature outdoor performances, the ninth annual In the Street Theater Festival, and visual arts exhibitions.",2003,12,25000,2003-06-01,2004-05-31,0.0,0.0,0.0,0.0,0.26985712698145564,0.0,0.0,0.0,1
25,509 Cultural Center,aka Luggage Store Gallery,Multidisciplinary*,Access,02-7000-4103,San Francisco,CA,94103-1605,"To support free arts programming for inner-city audiences; including performances and exhibitions. This project will feature outdoor arts presentations, the eighth annual In the Street Theater Festival, and exhibitions.",2002,12,17000,2002-06-01,2003-05-31,0.0,0.0,0.0,0.0,0.2582564473415908,0.0,0.0,0.0,1
26,509 Cultural Center,aka Luggage Store Gallery,Multidisciplinary*,Access,01-7000-4095,San Francisco,CA,94103-1605,"To support free arts programming in a low-income neighborhood of San Francisco. This project will feature outdoor arts presentations, the seventh annual In the Street Theater Festival, exhibitions, and arts education programs for under-served youth and adults.",2001,12,15000,2001-06-01,2002-05-31,0.0,0.0,0.0,0.0,0.22795945431557363,0.0,0.0,0.0,1
27,509 Cultural Center,aka Luggage Store Gallery,Multidisciplinary*,Access,00-7000-4076,San Francisco,CA,94103-1605,"To support outdoor arts presentations, the Sixth Annual San Francisco In the Street Theater Festival, and arts education programs for low-income youth and adults. The project will focus on art forms reflecting the center's culturally-diverse neighborhood and will target under-served youth and adults for arts education activities.",2000,12,15000,2000-04-01,2001-03-31,0.0,0.0,0.0,0.0,0.17586930780205393,0.0,0.0,0.0,1
28,509 Cultural Center,aka Luggage Store Gallery,Multidisciplinary*,Other,99-7000-7078,San Francisco,CA,94103-1605,"To support outdoor arts presentations, the fifth annual In the Street Theater Festival, and arts education programs for economically disadvantaged residents of the city's Tenderloin district. The project will focus on art forms reflecting the culturally diverse neighborhood and will target at-risk youth for arts education activities.",1999,12,15000,1999-04-01,2000-03-31,0.0,0.0,0.0,0.0,0.18631885572962442,0.0,0.0,0.0,1
29,826 National,,Literary Arts,Grants for Arts Projects,1906560-52-23,SAN FRANCISCO,CA,94103-5422,"Purpose: To support the publication of an anthology of student writing. Additional Project Description: 826 National will work with a national student editorial board to solicit and select writing from across the organization's nine chapters and online learning platform, 826 Digital. Amplifying the voices of students, with a focus on including girls and nonbinary students, the anthology will feature a foreword by a professional author or other influential adult and will serve as a mentor text for students across the 826 Network. Intended Beneficiaries: Project activities will benefit students participating in the 826 Network. Intended Outcome: Beneficiaries access arts activities and programming.",2023,12,15000,2023-01-01,2023-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30,826 National,,Literary Arts,Grants for Arts Projects,1884866-52-21,SAN FRANCISCO,CA,94103-5422,"To support 826 Digital, an online platform for educators. With the goal of inspiring young people to unlock the creative power of storytelling, the site provides teachers nationwide with curated resources such as ready-to-use lesson plans that align with Common Core standards. In addition to developing new curricular content, the organization will improve the user experience by offering site enhancements such as ""how to"" resources in Spanish and English.",2021,12,10000,2021-07-01,2022-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
31,826 National,,Literary Arts,Art Works,1862415-52-20,SAN FRANCISCO,CA,94103-5422,"To support 826 Digital, an online platform for educators. Designed to get students excited about creative writing, the site provides teachers nationwide with resources such as ready-to-use lesson plans that align with Common Core standards. In addition to developing new teacher training modules, the organization will increase its outreach to educators outside its current network, including in rural communities.",2020,12,10000,2020-07-01,2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.1148879605765101,0.0,1
32,826 National,,Literary Arts,Art Works,1855427-52-19,SAN FRANCISCO,CA,94103-5422,"To support 826 Digital, an online platform for educators. Designed to get students excited about and engaged in creative writing, the site provides teachers nationwide with resources such as cross-curricular lesson plans that align with Common Core standards and a curated student writing gallery searchable by grade level, theme, and literary style.",2019,12,10000,2019-07-01,2020-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
33,826 National,,Literary Arts,Art Works,1808385-52-18,SAN FRANCISCO,CA,94103-5422,"To support 826 Digital, an online platform for educators. Designed to get students excited about and engaged in creative writing, the site provides teachers nationwide with resources such as cross-curricular lesson plans that align with Common Core state standards and a curated student writing gallery searchable by grade level, theme, and literary style. In addition to developing new content for 826 Digital, the organization plans to evaluate the platform and refine site features and functionality based on user feedback.",2018,12,10000,2018-07-01,2019-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,826 National,,Literary Arts,Art Works,17-5200-7143,SAN FRANCISCO,CA,94103-5422,"To support the development of 826 Digital, a multimedia platform that includes creative writing resources. The platform will provide educators nationwide with inspirational creative writing resources. These include cross-curriculuar lessons that align with Common Core state standards, as well as a curated student writing gallery searchable by grade level, theme, and literary style. 826 National plans to evaluate the plaform and its impact through online surveys, user reviews, and website analytics, among other means.",2017,12,15000,2017-07-01,2018-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,826 National,,Literary Arts,Art Works,14-5200-7152,SAN FRANCISCO,CA,94103-5422,"To support a variety of publications and online tools to help teachers, parents, and students get access to quality creative writing instruction. Programs include a licensing platform for the organization's Storytelling  Bookmaking program; new curriculum books; the digitization of current curriculum books; and an annual brochure of 826 National and chapter books.",2014,12,30000,2014-06-01,2015-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36,826 Valencia,,Arts Education,Grants for Arts Projects,1906667-51-23,SAN FRANCISCO,CA,94110-1737,Purpose: To support creative writing programs and publication of student work. Additional Project Description: Students from underperforming schools will learn writing and editing skills through in-school creative writing workshops led by professional writers and augmented by in-person or virtual visits from other authors. Students' work will be published in an anthology edited by a youth advisory board and will include a forward written by a guest author. Intended Beneficiaries: The project will serve high school students from low-income communities. Intended Outcome: Beneficiaries acquire knowledge and skills in the arts.,2023,12,15000,2023-01-01,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.09744221875967295,0.0,1
37,826 Valencia,,Arts Education,Grants for Arts Projects,1888199-51-22,SAN FRANCISCO,CA,94110-1737,Purpose: To support creative writing programs and publication of student work. Additional Project Description: Students from underperforming schools will learn writing and editing skills through in-school creative writing workshops led by professional writers. Students' work will be published in an anthology. Intended Beneficiaries: The project will serve high school students from low-income communities. Intended Outcomes: Beneficiaries acquire knowledge and skills in the arts.,2022,12,15000,2022-01-01,2022-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.11380018263390317,0.0,1
38,826 Valencia,,Arts Education,Learning in the Arts for Children & Youth,11-5100-8031,SAN FRANCISCO,CA,94110-1737,"To support creative writing programs and publication of student work. Taught by professional artists, students from under-performing schools will learn writing and editing skills through one-on-one tutoring sessions, workshops, field trips, and artist residencies; their work will be published in chapbooks, quarterlies, an anthology, and student newspapers.",2011,12,27000,2011-07-01,2012-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
39,826 Valencia,,Arts Education,Learning in the Arts for Children & Youth,10-5100-8052,SAN FRANCISCO,CA,94110-1737,To support writing programs and the publication of student work. Professional artists will teach creative writing to underserved youth in under-performing schools.,2010,12,28000,2010-07-01,2011-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40,826 Valencia,,Arts Education,Learning in the Arts for Children & Youth,09-5100-8095,SAN FRANCISCO,CA,94110-1737,To support writing programs and the publication of student work. Professional artists will teach creative writing to underserved youth in under-performing schools.,2009,12,48000,2009-07-01,2010-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
41,826 Valencia,,Arts Education,Learning in the Arts for Children & Youth,08-5100-8092,SAN FRANCISCO,CA,94110-1737,To support writing programs and the publication of student work. Professional artists will teach creative writing to at-risk youth in under-performing schools.,2008,12,40000,2008-07-01,2009-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
