,Year,NAME,GEO_ID,DP03_0001E,DP03_0001M,DP03_0002E,DP03_0002M,DP03_0003E,DP03_0003M,DP03_0004E,DP03_0004M,DP03_0005E,DP03_0005M,DP03_0006E,DP03_0006M,DP03_0007E,DP03_0007M,DP03_0008E,DP03_0008M,DP03_0009E,DP03_0009M,DP03_0010E,DP03_0010M,DP03_0011E,DP03_0011M,DP03_0012E,DP03_0012M,DP03_0013E,DP03_0013M,DP03_0014E,DP03_0014M,DP03_0015E,DP03_0015M,DP03_0016E,DP03_0016M,DP03_0017E,DP03_0017M,DP03_0018E,DP03_0018M,DP03_0019E,DP03_0019M,DP03_0020E,DP03_0020M,DP03_0021E,DP03_0021M,DP03_0022E,DP03_0022M,DP03_0023E,DP03_0023M,DP03_0024E,DP03_0024M,DP03_0025E,DP03_0025M,DP03_0026E,DP03_0026M,DP03_0027E,DP03_0027M,DP03_0028E,DP03_0028M,DP03_0029E,DP03_0029M,DP03_0030E,DP03_0030M,DP03_0031E,DP03_0031M,DP03_0032E,DP03_0032M,DP03_0033E,DP03_0033M,DP03_0034E,DP03_0034M,DP03_0035E,DP03_0035M,DP03_0036E,DP03_0036M,DP03_0037E,DP03_0037M,DP03_0038E,DP03_0038M,DP03_0039E,DP03_0039M,DP03_0040E,DP03_0040M,DP03_0041E,DP03_0041M,DP03_0042E,DP03_0042M,DP03_0043E,DP03_0043M,DP03_0044E,DP03_0044M,DP03_0045E,DP03_0045M,DP03_0046E,DP03_0046M,DP03_0047E,DP03_0047M,DP03_0048E,DP03_0048M,DP03_0049E,DP03_0049M,DP03_0050E,DP03_0050M,DP03_0051E,DP03_0051M,DP03_0052E,DP03_0052M,DP03_0053E,DP03_0053M,DP03_0054E,DP03_0054M,DP03_0055E,DP03_0055M,DP03_0056E,DP03_0056M,DP03_0057E,DP03_0057M,DP03_0058E,DP03_0058M,DP03_0059E,DP03_0059M,DP03_0060E,DP03_0060M,DP03_0061E,DP03_0061M,DP03_0062E,DP03_0062M,DP03_0063E,DP03_0063M,DP03_0064E,DP03_0064M,DP03_0065E,DP03_0065M,DP03_0066E,DP03_0066M,DP03_0067E,DP03_0067M,DP03_0068E,DP03_0068M,DP03_0069E,DP03_0069M,DP03_0070E,DP03_0070M,DP03_0071E,DP03_0071M,DP03_0072E,DP03_0072M,DP03_0073E,DP03_0073M,DP03_0074E,DP03_0074M,DP03_0075E,DP03_0075M,DP03_0076E,DP03_0076M,DP03_0077E,DP03_0077M,DP03_0078E,DP03_0078M,DP03_0079E,DP03_0079M,DP03_0080E,DP03_0080M,DP03_0081E,DP03_0081M,DP03_0082E,DP03_0082M,DP03_0083E,DP03_0083M,DP03_0084E,DP03_0084M,DP03_0085E,DP03_0085M,DP03_0086E,DP03_0086M,DP03_0087E,DP03_0087M,DP03_0088E,DP03_0088M,DP03_0089E,DP03_0089M,DP03_0090E,DP03_0090M,DP03_0091E,DP03_0091M,DP03_0092E,DP03_0092M,DP03_0093E,DP03_0093M,DP03_0094E,DP03_0094M,DP03_0095E,DP03_0095M,DP03_0096E,DP03_0096M,DP03_0097E,DP03_0097M,DP03_0098E,DP03_0098M,DP03_0099E,DP03_0099M,DP03_0100E,DP03_0100M,DP03_0101E,DP03_0101M,DP03_0102E,DP03_0102M,DP03_0103E,DP03_0103M,DP03_0104E,DP03_0104M,DP03_0105E,DP03_0105M,DP03_0106E,DP03_0106M,DP03_0107E,DP03_0107M,DP03_0108E,DP03_0108M,DP03_0109E,DP03_0109M,DP03_0110E,DP03_0110M,DP03_0111E,DP03_0111M,DP03_0112E,DP03_0112M,state,count,Geographic Area Name,2017 NAICS Code,Meaning of NAICS Code,Meaning of Establishments located in Metropolitan or Micropolitan Statistical Area indicator,Meaning of Establishment age code,Number of firms,Number of establishments,Number of employees,(DHS) denominator,Number of establishments born during the last 12 months,Rate of establishments born during the last 12 months,Number of establishments exited during the last 12 months,Rate of establishments exited during the last 12 months,Number of jobs created from expanding and opening establishments during the last 12 months,Number of jobs created from opening establishments during the last 12 months,Number of jobs created from expanding establishments during the last 12 months,Rate of jobs created from opening establishments during the last 12 months,Rate of jobs created from expanding and opening establishments during the last 12 months,Number of jobs lost from contracting and closing establishments during the last 12 months,Number of jobs lost from closing establishments during the last 12 months,Number of jobs lost from contracting establishments during the last 12 months,Rate of jobs lost from closing establishments during the last 12 months,Rate of jobs lost from contracting and closing establishments during the last 12 months,Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months,Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months,Rate of reallocation during the last 12 months,Number of firms that exited during the last 12 months,Number of establishments associated with firm deaths during the last 12 months,Number of employees associated with firm deaths during the last 12 months
0,2005,"Franklin County, Ohio",0500000US39049,821693,1390,574487,5417,573180,5495,533343,5956,39837,3302,1307,566,247206,5498,573180,5495,7.0,0.6,423472,1189,273807,3982,273581,3986,255183,4396,95210,2144,59982,3426,165995,2573,117537,4703,519014,6154,434419,6545,43450,3782,11317,1545,7524,1298,5474,1099,16830,1862,20.6,0.4,533343,5956,209296,6752,79661,4409,154095,4999,365,298,35148,2847,54778,3370,1249,447,26494,2739,42666,3562,18403,2259,69359,4190,25920,2479,17257,1837,57047,3293,63432,4076,112190,4458,45033,3636,24793,2667,29500,2599,418290,6820,84863,4568,29416,2469,774,358,446879,4274,41552,2663,24571,2300,50133,3090,53001,3320,74419,3695,83819,4303,52531,3036,44135,2921,11372,1545,11346,1506,45410,913,60477,1499,372516,4758,61157,1607,91396,2671,12808,310,67831,3216,19181,1177,17379,2105,6779,389,11183,1661,2876,400,38158,2515,273583,6248,16633,1891,9654,1671,23732,2327,27773,2635,42951,3370,54425,3331,40667,2810,37364,2903,10072,1485,10312,1480,56807,1571,73088,2347,25738,573,173296,6033,31005,950,38654,1276,29357,693,44146,1749,35915,886,10.5,1.0,15.7,1.5,16.7,3.7,4.3,0.7,5.7,1.2,5.5,2.5,29.1,3.1,36.4,3.6,41.7,9.4,14.5,0.9,20.1,2.0,19.8,2.1,24.3,3.3,17.9,2.0,12.6,0.7,13.0,0.8,10.2,1.4,11.9,1.1,23.7,1.4,39,5,"Franklin County, Ohio",00,Total for all sectors,Total,Total,"19,226","25,657","581,629","580,721","2,687",10.504,"2,534",9.906,"87,235","31,773","55,462",5.471,15.022,"85,780","27,729","58,051",4.775,14.771,"1,455",0.251,29.543,"1,537","1,560","10,156"
1,2006,"Franklin County, Ohio",0500000US39049,844891,1589,589534,5948,588834,6062,546414,6809,42420,3256,700,381,255357,5889,588834,6062,7.2,0.6,436632,1110,279185,3987,279030,3999,259840,4281,96142,2351,65438,3520,163927,3319,121385,5230,531390,6843,440551,7721,40815,3955,13519,2177,11974,1460,4857,1044,19674,2377,20.9,0.4,546414,6809,211663,6022,82367,4568,157222,6026,585,439,35797,2783,58780,4346,1184,486,30125,2905,42009,3520,21440,2295,67426,4233,29389,2682,15990,2111,57960,3326,63423,3780,118353,4743,47238,3757,23055,2418,28822,2381,435798,7453,81863,4511,27988,2527,765,372,451532,4337,43177,3411,26164,2515,52137,2875,53066,3340,66914,3755,86183,3676,49524,3422,47262,3094,14070,2046,13035,1564,45803,900,61395,1152,375395,4748,62686,1217,90798,2358,13193,357,71726,3101,18552,766,15771,1758,7204,375,12474,1877,3125,471,45882,3295,269967,5424,16815,2141,10366,1616,22613,2442,27052,2781,35900,2448,55233,3348,38347,2916,39433,2658,12136,1909,12072,1469,59599,1456,75383,1723,25566,449,181565,5209,30779,1009,38800,1413,29211,780,45664,1066,35568,848,11.3,1.1,17.6,1.6,19.2,3.4,4.2,0.8,6.1,1.4,7.5,3.2,33.0,2.9,40.2,3.5,45.7,8.8,16.3,1.0,21.6,2.1,21.2,2.1,25.7,3.5,19.2,2.2,14.5,0.8,15.4,0.9,8.5,1.4,12.8,1.2,27.7,1.8,39,4,"Franklin County, Ohio",00,Total for all sectors,Total,Total,"19,395","26,049","589,335","586,001","2,987",11.552,"2,602",10.063,"94,603","38,766","55,837",6.615,16.144,"88,783","33,702","55,081",5.751,15.151,"5,820",0.993,30.301,"1,559","1,617","13,244"
2,2007,"Franklin County, Ohio",0500000US39049,862016,1471,594042,8102,593429,8009,556397,8631,37032,3771,613,417,267974,8141,593429,8009,6.2,0.6,443163,1142,280157,5888,280157,5888,261114,6031,97248,2014,61853,3456,171217,2389,122792,5236,540227,8751,444544,8741,41905,3784,12002,1881,12795,2113,7107,1437,21874,2523,21.1,0.4,556397,8631,220787,6179,87743,5137,154304,5220,379,251,34483,3373,58701,4380,556397,8631,874,446,27619,3018,41801,3481,21019,2717,64628,4251,28807,3076,16237,2072,62062,4507,67352,4767,125296,5117,47977,3319,23020,2758,29705,2808,556397,8631,440807,7494,87771,4891,26778,2449,1041,552,452338,4274,42283,3602,21899,2525,47197,3278,53131,3866,68763,3871,90582,4409,50632,3680,44627,2738,18530,1815,14694,1689,47900,1477,64297,1406,374113,5049,66228,1554,90352,2717,13519,325,67838,2643,21801,1727,17152,2578,7763,521,9469,1374,2539,389,41475,3298,267808,5329,18374,2286,7447,1410,18962,2168,26405,2946,36390,2945,57094,3322,38644,3059,35734,2334,16218,1728,12540,1509,60221,1383,77933,2275,26731,603,184530,5302,33425,1193,43051,1674,30350,484,45389.0,1249.0,37160.0,971.0,11.6,1.1,17.4,1.7,18.5,4.2,3.9,0.8,5.3,1.3,7.4,3.5,32.6,3.2,39.3,4.1,40.0,9.6,16.3,1.2,21.5,2.3,21.4,2.3,23.9,3.5,20.3,2.4,14.5,1.0,15.3,1.0,9.2,1.9,39,4,"Franklin County, Ohio",00,Total for all sectors,Total,Total,"19,242","25,917","593,392","591,499","2,911",11.205,"3,036",11.686,"91,156","36,527","54,629",6.175,15.411,"87,207","32,632","54,575",5.517,14.743,"3,949",0.668,29.487,"1,668","1,699","11,063"
3,2008,"Franklin County, Ohio",0500000US39049,869414,1423,616884,6859,615348,6803,579730,6309,35618,3068,1536,782,252530,6762,615348,6803,5.8,0.5,448539,1101,298433,4628,298393,4639,282267,4654,97116,2289,67722,3113,177650,2921,135400,4193,568339,6909,461660,7957,48125,3968,14117,2043,14054,2192,8695,1644,21688,2805,21.2,0.4,579730,6309,238374,6996,91678,4702,152831,5302,480,327,34656,3406,61711,3984,579730,6309,1167,614,24308,2631,46474,3611,16623,2041,69385,4913,31285,2582,15310,2083,61671,3699,68713,3718,138189,5147,53739,4025,24392,3267,28474,2218,579730,6309,467806,7368,86813,4202,24712,2864,399,361,454952,5103,40260,2551,21359,2082,43496,2960,49183,3591,67472,3863,87618,4655,57116,3190,51710,2849,19607,1994,17131,1944,51238,914,68094,1517,378904,5470,69210,1528,88174,2583,14343,326,65695,2519,23906,1821,15009,1852,7189,379,11665,1486,2971,283,43313,3407,268896,5660,15404,2313,8423,1435,17091,2084,22878,2499,37795,3059,53642,3554,40375,2881,41660,2820,16737,1855,14891,1770,65106,2009,83115,2231,27971,640,186056,5923,34446,1531,44580,1459,31661,394,46841.0,924.0,38142.0,1199.0,10.4,1.1,15.5,2.0,18.9,4.1,3.3,0.7,5.0,1.3,6.1,3.4,28.8,3.6,35.0,4.4,50.3,8.3,15.0,1.1,19.6,2.5,19.3,2.5,26.0,4.0,16.3,2.7,13.4,0.8,13.8,0.9,11.1,1.4,39,3,"Franklin County, Ohio",00,Total for all sectors,Total,Total,"18,921","25,352","588,858","590,944","2,431",9.486,"2,983",11.640,"82,305","27,420","54,885",4.640,13.928,"86,567","27,306","59,261",4.621,14.649,"−4,262",−0.721,27.855,"1,666","1,705","11,170"
4,2009,"Franklin County, Ohio",0500000US39049,903198,1327,630708,7449,629157,7385,573111,7933,56046,3837,1551,652,272490,7484,629157,7385,8.9,0.6,467569,1003,304419,5198,304122,5182,277497,5690,100248,2126,67861,3595,166069,2270,120970,3993,561230,8266,465316,8280,41836,3705,10733,2100,12910,1757,8993,1666,21442,2957,21.1,0.4,573111,7933,237264,6685,91525,4634,151028,5433,983,838,34704,3114,57607,4325,573111,7933,1634,901,26591,2626,40432,3493,15921,2040,69455,4640,29363,2986,16795,2163,60655,4295,72985,5064,133512,5411,48472,4286,27600,3303,29696,2690,573111,7933,454346,9379,90675,4476,27659,2591,431,283,456290,5549,44329,3183,23251,2459,50221,3107,52007,3709,68730,3533,85878,4193,51579,3264,50170,3114,16695,1864,13430,1438,47416,1160,63892,1358,375447,5843,65461,1349,94050,2741,14698,419,67853,3039,21796,1400,14163,1885,7527,455,13424,1670,3369,363,56623,3310,270304,5695,19878,2281,10415,1632,22299,2347,23715,2427,37379,2656,52751,2902,36429,2625,40969,2700,14872,1784,11597,1321,60060,1353,76851,1799,26272,580,185986,5134,32978,1192,42701,1915,29467,620,43646.0,1324.0,37976.0,900.0,1141932.0,2551.0,975156.0,8857.0,790220.0,10844.0,285465.0,9057.0,166776.0,8935.0,275503.0,479.0,22581.0,3682.0,13.5,1.0,20.6,1.7,17.5,3.2,5.3,0.9,8.4,1.5,5.0,2.5,35.2,3.0,43.7,3.7,43.8,8.7,18.2,0.9,39,7,"Franklin County, Ohio",00,Total for all sectors,Total,Total,"18,547","25,232","571,148","581,176","2,588",10.221,"2,767",10.927,"72,887","30,573","42,314",5.261,12.541,"93,370","30,397","62,973",5.230,16.066,"−20,483",−3.524,25.083,"1,625","1,677","10,365"
5,2010,"Franklin County, Ohio",0500000US39049,916195,1841,646458,7356,645995,7316,573927,7135,72068,4491,463,275,269737,7439,645995,7316,-888888888.0,-888888888.0,475778,1135,313933,5053,313787,5047,285432,5237,94925,2164,67262,3073,171035,2828,132412,4990,560284,7407,455777,8008,45103,4137,13758,2331,13371,2074,7512,1443,24763,2111,21.1,0.4,573927,7135,224025,6224,95602,5779,158963,7127,31675,3294,63662,4756,573927,7135,1713,653,22494,2615,43348,3305,17964,2345,76223,5037,26838,2827,12388,1724,58703,3924,64208,4732,139776,6126,52209,4288,26158,2791,31905,3015,573927,7135,456536,8615,89079,4937,27306,2500,1006,623,462716,4736,44682,3461,23911,2871,56614,3742,48203,3244,67408,3733,88079,4684,51998,2840,51225,2844,16161,1711,14435,1432,47557,1200,63293,1033,377144,5625,64533,1287,98420,2862,15078,413,72512,3008,25117,2447,23620,2185,8181,460,13322,1817,3855,495,72074,4108,270856,4970,20069,2352,10759,2151,23058,2505,22548,2558,35565,3289,54646,4018,37282,2542,40273,2420,14214,1714,12442,1372,60158,1882,76545,1672,25820,420,191860,5420,32086,1033,42105,1269,29897,996,45059,1351,37067.0,737.0,1160107.0,1526.0,1009418.0,9167.0,789385.0,13635.0,317034.0,11408.0,150689.0,9278.0,278935.0,149.0,12779.0,2353.0,768054.0,1577.0,617033.0,6744.0,549081.0,6949.0,472326.0,7228.0,443215.0,7717.0,37402.0,3541.0,76755.0,5688.0,67952.0,4451.0,35877.0,3533.0,21305.0,2053.0,15153.0,2385.0,39,3,"Franklin County, Ohio",00,Total for all sectors,Total,Total,"18,229","24,878","558,971","564,388","2,134",8.518,"2,483",9.911,"64,820","20,894","43,926",3.702,11.485,"75,925","20,000","55,925",3.544,13.453,"−11,105",−1.968,22.970,"1,436","1,494","10,403"
6,2011,"Franklin County, Ohio",0500000US39049,926819,1559,637794,7615,637117,7604,578063,7820,59054,4222,677,481,289025,7550,637117,7604,-888888888.0,-888888888.0,481678,1071,308194,5427,307928,5443,278598,5594,99576,2404,67097,3576,168283,3645,120302,5149,566710,8265,463774,8829,44080,4280,14602,1870,13953,2159,7972,1218,22329,2915,21.8,0.5,578063,7820,228019,6896,100664,5845,155481,6650,31289,3224,62610,3880,578063,7820,1258,575,22540,2811,44026,4138,19905,2790,70124,5593,29148,3284,17345,2371,56608,3681,69036,4453,140194,5862,55719,4759,24861,3267,27299,3207,578063,7820,461471,8536,89918,5670,26169,2890,505,318,465653,4164,44668,3044,27335,2424,52107,3770,52403,3891,66176,3692,84525,4386,50657,3317,51333,3033,18776,2562,17673,2388,47029,1452,65607,1740,376185,5923,68024,1925,97644,3254,15685,533,67124,3673,24161,1487,25611,2283,8635,477,15262,1907,4241,850,70629,3855,264557,5168,17160,2027,9331,1846,21448,2659,23368,2521,35022,2984,52218,3650,35228,2719,41978,3000,15042,2199,13762,1852,62249,1562,80060,2663,26915,680,201096,4606,31977,1226,44506,1968,30438,541,45608,1274,39915.0,1170.0,1170475.0,1467.0,1012155.0,9847.0,797210.0,15906.0,315074.0,10631.0,158320.0,9771.0,280465.0,163.0,18061.0,3223.0,774884.0,1389.0,607191.0,7155.0,552137.0,7871.0,471383.0,8947.0,447189.0,9342.0,33022.0,3120.0,80754.0,5368.0,55054.0,4057.0,31212.0,2985.0,18058.0,2570.0,13918.0,2416.0,39,8,"Franklin County, Ohio",00,Total for all sectors,Total,Total,"18,315","24,542","561,832","559,480","2,310",9.348,"2,646",10.708,"75,601","20,438","55,163",3.653,13.513,"70,890","26,141","44,749",4.672,12.671,"4,711",0.842,25.341,"1,333","1,362","8,990"
7,2012,"Franklin County, Ohio",0500000US39049,926819,1559,637794,7615,637117,7604,578063,7820,59054,4222,677,481,289025,7550,637117,7604,-888888888.0,-888888888.0,481678,1071,308194,5427,307928,5443,278598,5594,99576,2404,67097,3576,168283,3645,120302,5149,566710,8265,463774,8829,44080,4280,14602,1870,13953,2159,7972,1218,22329,2915,21.8,0.5,578063,7820,228019,6896,100664,5845,155481,6650,31289,3224,62610,3880,578063,7820,1258,575,22540,2811,44026,4138,19905,2790,70124,5593,29148,3284,17345,2371,56608,3681,69036,4453,140194,5862,55719,4759,24861,3267,27299,3207,578063,7820,461471,8536,89918,5670,26169,2890,505,318,465653,4164,44668,3044,27335,2424,52107,3770,52403,3891,66176,3692,84525,4386,50657,3317,51333,3033,18776,2562,17673,2388,47029,1452,65607,1740,376185,5923,68024,1925,97644,3254,15685,533,67124,3673,24161,1487,25611,2283,8635,477,15262,1907,4241,850,70629,3855,264557,5168,17160,2027,9331,1846,21448,2659,23368,2521,35022,2984,52218,3650,35228,2719,41978,3000,15042,2199,13762,1852,62249,1562,80060,2663,26915,680,201096,4606,31977,1226,44506,1968,30438,541,45608,1274,39915.0,1170.0,1170475.0,1467.0,1012155.0,9847.0,797210.0,15906.0,315074.0,10631.0,158320.0,9771.0,280465.0,163.0,18061.0,3223.0,774884.0,1389.0,607191.0,7155.0,552137.0,7871.0,471383.0,8947.0,447189.0,9342.0,33022.0,3120.0,80754.0,5368.0,55054.0,4057.0,31212.0,2985.0,18058.0,2570.0,13918.0,2416.0,39,3,"Franklin County, Ohio",00,Total for all sectors,Total,Total,"18,439","24,728","592,918","577,387","2,350",9.540,"2,158",8.761,"92,863","25,427","67,436",4.404,16.083,"60,869","17,713","43,156",3.068,10.542,"31,994",5.541,21.084,"1,198","1,219","7,837"
8,2013,"Franklin County, Ohio",0500000US39049,953948,1571,662300,7438,661174,7511,617597,8509,43577,4089,1126,570,291648,7356,661174,7511,-888888888.0,-888888888.0,495340,1121,325198,5594,324916,5585,304639,5848,99602,2215,72457,4211,175493,2646,130600,6016,605020,8662,488222,10198,50895,4592,15644,2236,15749,2183,10664,2233,23846,2908,21.4,0.4,617597,8509,255884,7764,109398,5937,148216,5595,34009,3403,70090,4790,617597,8509,1861,688,26444,3258,46250,3246,20766,2087,77380,5111,28876,2842,14692,2041,60027,4254,72782,5493,147465,5958,66658,4880,25799,2575,28597,3284,617597,8509,500651,9681,91151,5269,25523,2355,272,215,476532,5090,40590,3058,22839,2833,50840,3681,49217,3669,67272,3750,90655,4590,53021,4062,61248,3166,22413,1933,18437,1841,51460,1054,70152,1497,389426,5829,71996,1533,102823,2887,15729,413,72158,2883,26691,2116,25995,2635,8739,500,15708,1941,2797,341,74016,4391,274969,5967,13744,2146,9081,1706,24532,2852,22134,2478,35032,2387,52069,3898,35355,3347,47428,2869,19407,1833,16187,1717,64742,1793,86325,2607,28481,634,201563,6081,35565,929,45433,1396,31241,358,47198,1126,40739.0,774.0,1204191.0,1286.0,1046881.0,8190.0,812557.0,13177.0,334648.0,10784.0,157310.0,8208.0,287192.0,127.0,17177.0,3302.0,792284.0,1270.0,627191.0,7107.0,586918.0,7872.0,497865.0,8673.0,464873.0,9116.0,42895.0,3344.0,89053.0,5756.0,40273.0,4020.0,23858.0,2623.0,13715.0,1798.0,10540.0,2121.0,39,8,"Franklin County, Ohio",00,Total for all sectors,Total,Total,"18,663","25,020","598,705","596,109","2,406",9.675,"2,101",8.449,"81,941","28,620","53,321",4.801,13.746,"76,737","21,696","55,041",3.640,12.873,"5,204",0.873,25.746,"1,171","1,194","8,224"
9,2014,"Franklin County, Ohio",0500000US39049,968163,1606,679335,6117,679051,6108,638469,6363,40582,4212,284,187,288828,5957,679051,6108,-888888888.0,-888888888.0,501621,1225,331110,4501,330998,4460,313202,4755,104264,2344,75555,3483,172620,3100,133149,4507,623765,6884,511394,7643,49571,4842,15410,1969,14427,1859,8720,1402,24243,2627,21.5,0.4,638469,6363,270489,6908,106465,5288,156289,6497,36254,3798,68972,4818,638469,6363,1030,506,28860,3181,50151,4558,18989,2054,76522,5355,30006,3234,17056,2028,55830,3902,81182,4051,161530,5430,61552,4795,26992,2377,28769,3388,638469,6363,517017,7088,95756,5430,25170,2972,526,351,486877,3830,38892,2901,25128,2405,49290,3637,46595,3303,66556,3445,89862,3894,63370,3630,62417,3155,23004,1984,21763,1659,53180,1181,72367,1390,398280,5384,74224,1565,103631,2586,16847,374,74991,2936,26617,1615,24243,2198,9085,454,14696,1912,2421,340,73704,3730,290718,5166,18073,2078,10082,1708,22321,2565,22432,2602,34848,3098,52014,2919,43664,3507,49765,3190,18829,1812,18690,1448,67147,2326,86328,1928,29426,551,196159,5004,36850,985,48650,1507,31515,418,47931,1459,41244.0,543.0,1223824.0,1190.0,1102222.0,8079.0,841686.0,13421.0,357055.0,11019.0,121602.0,8038.0,291310.0,129.0,14496.0,3237.0,802564.0,944.0,643075.0,5543.0,605891.0,5834.0,536016.0,7087.0,494609.0,7918.0,51793.0,4238.0,69875.0,5557.0,37184.0,3900.0,25277.0,2877.0,14550.0,2077.0,11409.0,1875.0,39,12,"Franklin County, Ohio",00,Total for all sectors,Total,Total,"18,775","25,320","610,927","605,197","2,299",9.132,"2,008",7.976,"79,558","23,849","55,709",3.941,13.146,"68,128","18,435","49,693",3.046,11.257,"11,430",1.889,22.514,"1,184","1,209","8,651"
